中文名称,英文全称,PubChem CID
癸醇,DECYL ALCOHOL,8174
肉豆蔻酸癸酯,DECYL MYRISTATE,170588
油酸癸酯,DECYL OLEATE,5363234
DEDM 海因,DEDM HYDANTOIN,117879
奇异黄质,DEINOXANTHIN,16061289
苯甲地那铵,DENATONIUM BENZOATE,19518
地喹氯铵,DEQUALINIUM CHLORIDE,10649
二叔丁基氢醌,DI-T-BUTYLHYDROQUINONE,2374
双丙酮醇,DIACETONE ALCOHOL,31256
二乙酰基波尔定碱,DIACETYL BOLDINE,11732365
EDTA 二铵,DIAMMONIUM EDTA,13847684
双氯酚,DICHLOROPHENE,3037
二癸基二甲基氯化铵,DIDECYLDIMONIUM CHLORIDE,23558
二乙氧基二甘醇,DIETHOXYDIGLYCOL,8179
二乙氨羟苯甲酰基苯甲酸己酯,DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE,10111431
二羟丙酮,DIHYDROXYACETONE,670
二甲氧基二对甲酚,DIMETHOXY DI-P-CRESOL,166971
二甲醚,DIMETHYL ETHER,8254
二甲基脲,DIMETHYL UREA,7293
二甲基甲氧基苯并二氢吡喃醇,DIMETHYLMETHOXY CHROMANOL,10176661
薯蓣皂苷元,DIOSGENIN,99474
地奥司明,DIOSMINE,5281613
EDTA 二钾,DIPOTASSIUM EDTA,16156
甘草酸二钾,DIPOTASSIUM GLYCYRRHIZATE,656852
三磷酸腺苷二钠,DISODIUM ADENOSINE TRIPHOSPHATE,13803
抗坏血酸硫酸酯二钠,DISODIUM ASCORBYL SULFATE,71587176
EDTA-铜二钠,DISODIUM EDTA-COPPER,26402
黄素腺嘌呤二核苷酸二钠,DISODIUM FLAVINE ADENINE DINUCLEOTIDE,2734019
苹果单酰基酪氨酸二钠,DISODIUM MALYL TYROSINATE,71587464
B-还原辅酶I钠盐,DISODIUM NADH,86810478
二硬脂基醚,DISTEARYL ETHER,80526
二硫杂辛二醇,DITHIAOCTANEDIOL,78904
DM 乙内酰脲,DM HYDANTOIN,6491
DMDM 乙内酰脲,DMDM HYDANTOIN,22947
十二醇棓酸酯,DODECYL GALLATE,14425
度米芬,DOMIPHEN BROMIDE,10866
甲酚曲唑,DROMETRIZOLE,17113
四氢甲基嘧啶羧酸,ECTOIN,126041
鞣花酸,ELLAGIC ACID,5281855
表棓儿茶酚棓酸酯,EPIGALLOCATECHIN GALLATE,65064
麦角硫因,ERGOTHIONEINE,5351619
异抗坏血酸（异维生素C）,ERYTHORBIC ACID,54675810
赤藓醇,ERYTHRITOL,222285
马栗树皮苷,ESCULIN,5281417
乙氧基二甘醇,ETHOXYDIGLYCOL,8146
"乙基 2,2-二甲基氢化肉桂醛","ETHYL 2,2-DIMETHYLHYDROCINNAMAL",105513
肉桂酸乙酯,ETHYL CINNAMATE,637758
乙醚,ETHYL ETHER,3283
阿魏酸乙酯,ETHYL FERULATE,736681
乙基麦芽酚,ETHYL HYDROXYPYRONE,21059
月桂酸乙酯,ETHYL LAURATE,7800
亚油酸乙酯,ETHYL LINOLEATE,5282184
油酸乙酯,ETHYL OLEATE,5363269
棕榈酸乙酯,ETHYL PALMITATE,12366
硬脂酸乙酯,ETHYL STEARATE,8122
乙基香兰素,ETHYL VANILLIN,8467
巴西基酸乙二醇环酯,ETHYLENE BRASSYLATE,61014
羟苯乙酯,ETHYLPARABEN,8434
依托立林,ETOCRYLENE,243274
桉叶油素,EUCALYPTOL,2758
丁香酚,EUGENOL,3314
阿魏酸,FERULIC ACID,445858
叶酸,FOLIC ACID,135398658
甲酸,FORMIC ACID,284
岩藻黄质,FUCOXANTHIN,5281239
富马酸,FUMARIC ACID,444972
高良姜素,GALANGIN,5281616
棓酸,GALLIC ACID,370
γ-松油烯,GAMMA-TERPINENE,7461
香叶醇,GERANIOL,637566
乙酸香叶酯,GERANYL ACETATE,1549026
人参皂苷化合物 K,GINSENOSIDE COMPOUND K,9852086
人参皂苷 F1,GINSENOSIDE F1,9809542
人参皂苷 F2,GINSENOSIDE F2,9918692
人参皂苷 Ra1,GINSENOSIDE RA1,100941542
人参皂苷 Ra2,GINSENOSIDE RA2,100941543
人参皂苷 Rb1,GINSENOSIDE RB1,9898279
人参皂苷 Rb2,GINSENOSIDE RB2,6917976
人参皂苷 Rb3,GINSENOSIDE RB3,12912363
人参皂苷 Rc,GINSENOSIDE RC,12855889
人参皂苷 Rd,GINSENOSIDE RD,11679800
人参皂苷 Re,GINSENOSIDE RE,441921
人参皂苷 Rf,GINSENOSIDE RF,441922
人参皂苷 Rg1,GINSENOSIDE RG1,441923
人参皂苷 Rg2,GINSENOSIDE RG2,21599924
人参皂苷 Rg4,GINSENOSIDE RG4,102004835
人参皂苷 Rg5,GINSENOSIDE RG5,11550001
人参皂苷 Rg6,GINSENOSIDE RG6,91895489
人参皂苷 Rh1,GINSENOSIDE RH1,12855920
人参皂苷 Rh4,GINSENOSIDE RH4,21599928
人参皂苷 Rk1,GINSENOSIDE RK1,11499198
人参皂苷 Rk3,GINSENOSIDE RK3,75412555
人参皂苷 Ro,GINSENOSIDE RO,11815492
光甘草定,GLABRIDIN,124052
葡糖酸,GLUCONIC ACID,10690
谷氨酸,GLUTAMIC ACID,33032
戊二醛,GLUTARAL,3485
甘油,GLYCERIN,753
甘氨酸,GLYCINE,750
乙二醇,GLYCOL,174
乙二醇水杨酸酯,GLYCOL SALICYLATE,6880
乙二醇硬脂酸酯,GLYCOL STEARATE,24762
羟基乙酸,GLYCOLIC ACID,757
甘草亭酸,GLYCYRRHETINIC ACID,10114
甘草酸,GLYCYRRHIZIC ACID,14982
乙二醛,GLYOXAL,7860
乙醛酸,GLYOXYLIC ACID,760
愈创薁,GUAIAZULENE,3515
鸟嘌呤,GUANINE,135398634
鸟苷,GUANOSINE,135398635
胡椒醛,HELIOTROPINE,8438
橙皮苷,HESPERIDIN,10621
十六内酯,HEXADECANOLACTONE,7984
己醛,HEXANAL,6184
己醇,HEXYL ALCOHOL,8103
月桂酸己酯,HEXYL LAURATE,94454
水杨酸己酯,HEXYL SALICYLATE,22629
己基间苯二酚,HEXYLRESORCINOL,3610
扁柏酚,HINOKITIOL,3611
组氨酸,HISTIDINE,6274
组氨酸盐酸盐,HISTIDINE HCL,66091
龙虾肌碱盐酸盐,HOMARINE HCL,13645641
和厚朴酚,HONOKIOL,72303
大麦芽碱,HORDENINE,68313
对羟基苯乙酮,HYDROXYACETOPHENONE,7469
羟癸基泛醌,HYDROXYDECYL UBIQUINONE,3686
羟乙基脲,HYDROXYETHYL UREA,73984
羟苯基丙酰胺苯甲酸,HYDROXYPHENYL PROPAMIDOBENZOIC ACID,10334118
羟基频哪酮视黄酸酯,HYDROXYPINACOLONE RETINOATE,25054592
羟脯氨酸,HYDROXYPROLINE,5810
吲哚乙酸,INDOLE ACETIC ACID,802
碘丙炔醇丁基氨甲酸酯,IODOPROPYNYL BUTYLCARBAMATE,62097
月桂酸异戊酯,ISOAMYL LAURATE,61386
苯甲酸异丁酯,ISOBUTYL BENZOATE,61048
异亮氨酸,ISOLEUCINE,6306
异烟酰胺,ISONIACINAMIDE,15074
异丙醇,ISOPROPYL ALCOHOL,3776
异栎素,ISOQUERCITRIN,5484006
莰非醇,KAEMPFEROL,5280863
激动素,KINETIN,3830
曲酸,KOJIC ACID,3840
曲酸二棕榈酸酯,KOJIC DIPALMITATE,71587292
左旋-β-蒎烯,L-BETA-PINENE,440967
甲酸-L-薄荷酯,L-MENTHYL FORMATE,112791
羊毛甾醇,LANOSTEROL,246983
月桂酰胺,LAURAMIDE,14256
月桂酰胺 DEA,LAURAMIDE DEA,8430
月桂酰胺 MEA,LAURAMIDE MEA,8899
月桂基胺氧化物,LAURAMINE OXIDE,15433
月桂酸,LAURIC ACID,3893
月桂氮卓酮,LAUROCAPRAM,42981
月桂酰丙氨酸,LAUROYL ALANINE,13854541
月桂酰赖氨酸,LAUROYL LYSINE,104151
月桂醇,LAURYL ALCOHOL,8193
月桂基甜菜碱,LAURYL BETAINE,4292413
月桂醇月桂酸酯,LAURYL LAURATE,84113
月桂醇 PCA 酯,LAURYL PCA,173414
亮氨酸,LEUCINE,6106
乙酰丙酸,LEVULINIC ACID,11579
亚油酸,LINOLEIC ACID,5280450
亚麻酸,LINOLENIC ACID,5280934
番茄红素,LYCOPENE,446925
赖氨酸,LYSINE,5962
赖氨酸天冬氨酸盐,LYSINE ASPARTATE,23391569
赖氨酸谷氨酸盐,LYSINE GLUTAMATE,79415
赖氨酸盐酸盐,LYSINE HCL,69568
赖氨酸 PCA,LYSINE PCA,23534249
间氨基苯酚,M-AMINOPHENOL,11568
